,indonesian,toba_batak
1249,pukul,lopang
1250,pukul,lotak
1251,pukul,palu
1252,pukul,pasak
1253,pukul,tumbuk
1254,pulih,gira
1255,pulih,malum
1256,pulih,suang
1257,pura,pura
1258,pura,puro
1259,pusing,mirdong
1260,pusing,sibor
1261,pusing,tok
1262,racun,aji
1263,racun,bisa
1264,racun,putas
1265,racun,rasum
1266,racun,samar
1267,rahmat,asi
1268,rahmat,pasu-pasu
1269,rampas,gulut
1270,rampas,lahut
1271,rampas,laum
1272,rampas,rampus
1273,rampas,sintak
1274,rampas,soro
1275,ras,0
1276,ras,ras
1277,raya,raya
1278,raya,rea
1279,raya,rondo
1280,rela,pos
1281,rela,rade
1282,rela,rela
1283,rela,tulus
1284,rindu,lungun
1285,rindu,masihol
1286,rindu,sihol
1287,runtuh,maturtur
1288,runtuh,robo
1289,runtuh,rongrong
1290,runtuh,rumpak
1291,runtuh,tompas
1292,sadar,sadar
1293,sadar,sunggul
1294,sadar,tarjolma
1295,saham,arta
1296,saham,saham
1297,sakit,alit
1298,sakit,hancit
1299,sakit,marsahit
1300,sakit,sahit
1301,sakit,tok
1302,salah,pilit
1303,salah,pipot
1304,salah,sala
1305,salah,silap
1306,salah,ubor
1307,salam,jalang
1308,salam,salamat
1309,salam,tabe
1310,salam,tabi
1311,salut,hapian
1312,salut,manghapian
1313,salut,salut
1314,sama,dos
1315,sama,rap
1316,sama,sarupa
1317,samping,lambung
1318,samping,sabola
1319,samping,samping
1320,sangat,apala
1321,sangat,hian
1322,sangat,mansai
1323,sangat,pala
1324,sangat,tung
1325,santai,santai
1326,santai,sonang
1327,sapa,antoi
1328,sapa,hatai
1329,sapa,pakkulingi
1330,sapa,panghulingi
1331,saran,anjur
1332,saran,pandokan
1333,saran,pangidoan
1334,saran,poda
1335,sayang,hasian
1336,sayang,holong
1337,sayang,seang
1338,sebab,alana
1339,sebab,alani
1340,sebut,dokkon
1341,sebut,tardokhon
1342,sedih,arsak
1343,sedih,habot
1344,sedih,hndo
1345,sedih,lungun
1346,sedih,ngotngot
1347,sedih,parir
1348,segan,alangalang
1349,segan,bangkol
1350,segan,sagan
1351,segan,segan
1352,segan,sungka
1353,selamat,hipas
1354,selamat,horas
1355,selamat,ramot
1356,selamat,selamat
1357,selesai,bage
1358,selesai,habis
1359,selesai,sae
1360,selesai,sidung
1361,selesai,simpul
1362,selesai,suda
1363,semangat,bonar
1364,semangat,girgir
1365,semangat,hiras
1366,semangat,ringgas
1367,semangat,semangat
1368,sembunyi,buni
1369,sembunyi,martabuni
1370,sembunyi,monggop
1371,sembunyi,onding
1372,sembunyi,solpa
1373,sembunyi,sugut
1374,semoga,anggiat
1375,semoga,sai
1376,semoga,semoga
1377,sempat,boe dope
1378,sempat,sanga
1379,sempat,sompat
1380,senang,hoga
1381,senang,marlas ni roha
1382,senang,ria
1383,senang,sabas
1384,senang,sombu
1385,senang,sonang
1386,sendiri,sahalak
1387,sendiri,sahalaksa
1388,sendiri,sasadasa
1389,senjata,runsing
1390,senjata,senjata
1391,senjata,sinjata
1392,senyum,mekkel
1393,senyum,senyum
1394,senyum,suping
1395,seperti,doshon
1396,seperti,hira
1397,seperti,songon
1398,seperti,tarsongon
1399,seperti,tudos
1400,sepi,longo
1401,sepi,lungun
1402,seragam,samansam
1403,seragam,saragam
1404,seragam,sarupa
1405,seragam,seragam
1406,seram,jongir
1407,seram,jorbut
1408,seram,seram
1409,serang,alo
1410,serang,rompak
1411,serang,ronsom
1412,serang,saroso
1413,serangan,aloon
1414,serangan,paraloan
1415,serangan,rompakon
1416,serangan,ronsomon
1417,serangan,sarosoon
1418,serikat,kongsi
1419,serikat,parsadaan
1420,serikat,sarikkat
1421,siap,rade
1422,siap,siap
1423,siap,sidung
1424,siap,sun
1425,siap,tipak
1426,siap,tontu
1427,sigap,besbes
1428,sigap,hatop
1429,sigap,sigop
1430,sigap,sikkap
1431,silahkan,dipaloas
1432,silahkan,diparade
1433,silahkan,parade
1434,simpati,asini roha
1435,simpati,lomo roha
1436,simpatik,marlomoniroha
1437,simpatik,parasi roha
1438,solidaritas,hasadaan
1439,solidaritas,parsadaan
1440,sopan,hormat
1441,sopan,maradat
1442,sopan,pantung
1443,sopan,sopan
1444,sopan,tobok
1445,sopan,toman
1446,stres,lalu
1447,stres,mirdong
1448,stres,sega pikkiran
1449,stres,stres
1450,stres,tok
1451,striker,striker
1452,suap,aum
1453,suap,suap
1454,suap,sulang
1455,suka,giot
1456,suka,lomo
1457,suka,sirnip
1458,suka,tagi
1459,sulit,gogot
1460,sulit,haduk
1461,sulit,maol
1462,sulit,rettuk
1463,sulit,susa
1464,super,jebu
1465,super,super
1466,surga,surgo
1467,susah,gogot
1468,susah,haduk
1469,susah,maol
1470,susah,rettuk
1471,susah,susa
1472,tabah,benget
1473,tabah,nemnem
1474,tabah,sabam
1475,tabrak,tabrak
1476,tabrak,tombom
1477,tabrak,tompur
1478,tabrak,tumpur
1479,tahan,ambat
1480,tahan,dopang
1481,tahan,palang
1482,tahan,tahan
1483,tahanan,natarhurung
1484,tahanan,tahanan
1485,tahanan,tarbanan
1486,tak kalah,dang talu
1487,takut,biar
1488,takut,kahitir
1489,takut,lomos
1490,takut,mabiar
1491,tanggung jawab,alang alus
1492,tanggung jawab,tanggung jawab
1493,tangis,andung
1494,tangis,angguk
1495,tangis,tangis
1496,tangkap,barobo
1497,tangkap,tangkup
1498,tantangan,abatabat
1499,tantangan,aloalo
1500,tantangan,asangasang
1501,tantangan,tantangan
1502,tanya,sise
1503,tanya,sukkun
1504,tanya,sukun
1505,tegang,denggal
1506,tegang,marsitoltol
1507,tegang,pingkal
1508,tegang,tegang
1509,tegang,toltol
1510,tegas,poran
1511,tegas,tandap
1512,tegas,tegas
1513,tembak,tembak
1514,tempur,porang
1515,tempur,tempur
1516,tempur,tontang
1517,tenang,dame
1518,tenang,derem
1519,tenang,menak
1520,tenang,pos
1521,tenang,sinok
1522,tenang,tonang
1523,tenggelam,bonom
1524,tenggelam,linop
1525,tenggelam,lonong
1526,tenggelam,maup
1527,tenggelam,mogap
1528,tentang,taringot
1529,tentang,tentang
1530,tentu,antong
1531,tentu,tentu
1532,tentu,tohom
1533,tentu,tontu
1534,teramat,mansai
1535,teramat,mansai 
1536,teramat,tung
1537,terbesar,naumbalga
1538,terbunuh,hona pamate
1539,terbunuh,tarbunu
1540,terbunuh,tarpamate
1541,terganggu,hona ganggu
1542,terganggu,lola
1543,terganggu,targugai
1544,terganggu,tarlola
1545,terganggu,tollang
1546,tergantung,habir
1547,tergantung,hona gantung
1548,tergantung,mamereng ma
1549,tergantung,targaing
1550,tergantung,tarsangkot
1551,teriak,gora
1552,teriak,jou
1553,teriak,marsuara nagogo
1554,teriak,surak
1555,teriakan,goraan
1556,teriakan,jouan
1557,teriakan,suara nagogo
1558,teriakan,surakan
1559,terima,auhon
1560,terima,jalo
1561,terima,jangkon
1562,terima,olop
1563,terima kasih,mauliate
1564,terima kasih,olophon holong
1565,terimakasih,mauliate
1566,terkejut,mali tondi
1567,terkejut,tarhiap
1568,terkejut,tarsonggot
1569,terkena,hona
1570,terkena,piltik
1571,terkena,tarhona
1572,terluka,mabugang
1573,terluka,maluka
1574,terluka,tararit
1575,terluka,tarluka
1576,terluka,tarlukka
1577,teror,dijungkati
1578,teror,teror
1579,terpengaruh,lilian
1580,terpengaruh,manginona
1581,terpengaruh,tarhiap
1582,terpengaruh,tarpengaruh
1583,tersangka,taradang
1584,tersangka,tarsangka
1585,tersangka,tartudu
1586,tersangka,tartuhas
1587,tersinggung,alit
1588,tersinggung,tarpogu
1589,tersinggung,tarsinggung
1590,tertarik,targait
1591,tertarik,tarhait
1592,tertarik,tartarik
1593,tertarik,tartogu
1594,tertentu,tartontu
1595,tertentu,tertentu
1596,tertentu,tiningki
1597,tertinggal,allong
1598,tertinggal,tarlalap
1599,tertinggal,tartading
1600,tidak,daong
1601,tidak aman,dang aman
1602,tidak aman,dang sonang
1603,tinggal,ian
1604,tinggal,mian
1605,tinggal,tading
1606,tinggal,tinggal
1607,tinggal,toding
1608,tingkat,tingkat
1609,tragedi,hajadian
1610,tragedi,namasa
1611,tragedi,tragedi
1612,trauma,tarmali tondi
1613,trauma,trauma
1614,tubuh,badan
1615,tubuh,daging
1616,tubuh,diri
1617,tubuh,pamatang
1618,tuduhan,aling
1619,tuduhan,tiha-tiha
1620,tuduhan,todoan
1621,tuduhan,tuduhan
1622,tukang jualan,parjualan
1623,tukang jualan,partiga-tiga
1624,tumpas,pasidung
1625,tumpas,pasuda
1626,tumpas,roro
1627,tunda,sundat
1628,tunda,sundati
1629,tunggu,jaga
1630,tunggu,paima
1631,tunggu,painte
1632,tunggu,tagam
1633,turun,sorang
1634,turun,tuat
1635,turun,turun
1636,tutup,hungkup
1637,tutup,langkop
1638,tutup,tungkup
1639,tutup,tutup
1640,uang,hepeng
1641,untung,abak
1642,untung,laba
1643,untung,omo
1644,untung,sori
1645,untung,untung
1646,utuh,himpal
1647,utuh,sada
1648,utuh,utuh
1649,wajib,ikkon
1650,wajib,naingkon
1651,waspada,alat roha
1652,waspada,dungodungo
1653,waspada,manat
1654,waspada,manatmanat
1655,wow,bahhhh
1656,wow,wow
1657,ya,olo
1658,yakin,dapot roha
1659,yakin,porsea
1660,yakin,poso
1661,yakin,yakin
