,indonesian,madurese
1176,tertentu,la terrang
1177,tertentu,tantonah
1178,tertinggal,ceccèr
1179,tertinggal,edhina'aghi
1180,tertinggal,sè èdhina
1181,tidak,bhuntân
1182,tidak,enje'
1183,tidak,enjek
1184,tidak,tak
1185,tidak,ânjâ'
1186,tidak,ântân
1187,tidak,êntên
1188,tidak aman,tak aman
1189,tinggal,nettep
1190,tinggal,nêttêp
1191,tinggal,tinggal
1192,tinggal,èdhina
1193,tingkat,tingkat
1194,tragedi,kadâddhiân
1195,tragedi,kadêddhiên
1196,tragedi,kededdien
1197,tragedi,tragèdi
1198,trauma,trauma
1199,trauma,troma
1200,tubuh,bhedhen
1201,tubuh,bhêdhên
1202,tubuh,bâdân
1203,tuduhan,sangkaan
1204,tuduhan,tuduhan
1205,tuduhan,è sangkah
1206,tukang jualan,tokang jhuwêlên
1207,tukang jualan,tokang juelen
1208,tukang jualan,tokang juwâlân
1209,tumpas,tadèk
1210,tumpas,tompes
1211,tumpas,tompês
1212,tunda,tunda
1213,tunda,undur
1214,tunggu,antos
1215,tunggu,dentos
1216,tunggu,dentèk
1217,tunggu,dântos
1218,tunggu,dânté'
1219,tunggu,nanté'
1220,turun,toron
1221,tutup,totop
1222,uang,obâng
1223,uang,obêng
1224,uang,pèssè
1225,untung,ontong
1226,untung,pojhur
1227,utuh,ghenna'
1228,utuh,ghânna'
1229,utuh,pagghun
1230,utuh,têttêp
1231,utuh,utuh
1232,wajib,kodhu
1233,wajib,kodhuh
1234,wajib,wejib
1235,wajib,wâjib
1236,wajib,wêjib
1237,waspada,sènga'
1238,waspada,sènga'an
1239,waspada,tèngatè
1240,waspada,tèngatèh
1241,wow,waw
1242,wow,wow
1243,ya,iyeh
1244,ya,iyâ
1245,ya,iyê
1246,ya,ye
1247,ya,yâ
1248,ya,yê
1249,yakin,parcajâ
1250,yakin,parcajê
1251,yakin,yakin
