,indonesian,acehnese,banjarese,english,madurese,ngaju,sundanese,balinese,buginese,javanese,minangkabau,toba_batak
287,"Kereta mutiara timur malam, sby - bnywangi eksekutif tetapi kursi jorok dan kotor sekali. Tidak sesuai dengan harga yang sangat mahal, sangat mengecewakan","Geuritan mutiara timur malam, sby - bnywangi eksekutif tapi teumpat duekjih kuto that. Hana sibandeng deungon yum nyang brat meuhai, cukop brat keucewa.","Kereta mutiara timur malam, sby - banyuwangi eksekutif tapi kursi purici wan marigat banar. Kada sasuai lawan harga nang larang banar, mambari muar banar.","The night Mutiara Timur train from Surabaya - Banyuwangi. It's executive but the seat is really gross and dirty. Not worth the luxurious price, absolutely disappointing","Seppor mutiara temur malem, sby - banyuwangi eksekutif tape jhengka'na jhubek ben ketdhe' sarah. Tak cocok bik regghena se larang sarah, tak masenneng sarah","Kereta mutiara timur malam, sby - bnywangi eksekutif baya kursi bajilek dan jatunti kerasih tutu. Dia sesuai dengan rega je larang tutu,  mawi pehe atei tutu","Kareta Mutiara Timur wengi, sby - banyuwangi eksekutif tapi korsina jorok sareng kotor pisan. Teu saluyu sareng hargi anu awis pisan, nguciwakeun pisan","Kereta mutiara kangin  peteng, sby-banyuwangi eksekutif nanging kursine kumel lan daki pesan. Tusing sesuai ajak ajine sane mael sajan, keciwa sajan.. ","kereta mutiara timur malam, sby-banyuwangi makanja' tapi kaderana maronto' na macarepa ladde'. De'na sikenangeng  ellianna maka soli, mappaja nyawami","Sepur mutiara timur wengi, sby - bnywangi eksekutif nanging kursine nggilani lan reget banget. Ora sumbut karo regan sing larang banget, nggarai gela pol","Kereta mutiara timur malam, sby - bnywangi eksekutif tapi kursi kumuah bana. Ndak sasuai jo harago yang maha bana, kecewa bana","kareta mutiara timur borngin, sby - bnywangi esksekutif alai hundulanna kotor jala kotor hian. dang suman dohot arga na na arga hian, sial hian."
288,"Saya memilih tempat makan di saung dengan pemandangan sawah memesan nasi timbel komplit, surabi oncom dan colenak pesanan datang tidak harus menunggu lama. Hanya saja saya kecewa dengan serabinya. Di luar ekspektasi saya. Tidak enak.","Lon pileh teumpat makan di saung ngon peumandangan blang peusan bu timbel komplit, surabi oncom ngon colenak peusanan trok hana payah preh trep. Tapi lon keucewa ngon apamjih, Diluwa ekspektasi lon, hana mangat","Ulun mamilih wadah makan di saung lawan pamandangan pahumaan mamasan nasi timbel komplit, sarabi oncom wan colenak pasanan datang kada harus mahadangi lawas. Tagal ulun kaciwa wan sarabinya. Di luar nang ulun parkiraakan. Kada nyaman.","I chose this eatery in Saung with a ricefield view and ordered the complete Nasi Timbel, Surabi Oncom, and  Colenak. The order was served without waiting too long. Only disappointed with the Serabi. Below my expectations. Not delicious.","Engko' mele kennengan ngakan e saong bik pamandhangan saba messen nase' timbel komplit, surabi oncom, ban colenak pessenan datang tak kodhu adanta' abit. Nangeng engko' kocaba bik sarabina. E luar ekspekstasina engko'. Ta' lerres.","Akan penginan are macam ah baya tuh lalau kekare enyak, lauk gurame goreng diak mangat amun diak goreng keang. Bua ji hamis nah ji nawar ewen lalau kekare danum dengan diak haru.","Kuring milih tempat kadaharan di saung nu pamandanganna sawah mesen nasi timbel komplit, surabi oncom jeung colenak sareng henteu kedah ngantosan lami. Ngan eta kuring kuciwa ku surabina. Di luar ekspektasi kuring. Henteu raos.","Tyang memilih tongos ngajeng di saung olih pemandangan carik memesen nasi timbel komplit, surabi oncom lan colenak pesenan sane teke sing harus ngantosin mekelo. Sakewale tyang kuciwa ajak serabine. Di sisin ekspektasi tyang. sing jaen.","iya' mappitte anroang manre ri bola-bola mappattiro galung e massuroang nanre timbel lengka', surabeng oncom sibawa colenak iyae wassuroang detto napattajeng mettaki'. iyamiro masara ati ka' sibawa surabeng na. saliwenna pangelorekku. de' na malunra","Aku milih panggon mangan ning omah-omahan sing pemandangane sawah pesen sega timbel komplet, srabi oncom lan colenak pesenane teko ora kudu ngenteni suwe. Mung aku gela karo srabine. Ora podo karo ekspektasiku. Ora enak.","Awak mamiliah tampek makan di sauang jo pamandangan sawah mamasan nasi timbel komplit, sarabi oncom jo colenak pasanan datang ndak harus manunggu lamo. Hanyo sajo awak kacewa jo surabinyo. Di lua ekspektasi wak. Ndak lamak.","Hupillit ma inganan parmanganan di sopo-sopo na boi mamereng / mamandang tu saba i hupangido ma indahan timbel komplit, surabi oncom dohot colenak pintor ro do ndang sadia leleng iba paimahon. Alai dang tagam rohangku tung so mardae do serabi na i.Di ruar ni ha hupikkiri do bah. Dang tabo."
289,Payah sekali pelayanan pos indonesia saat ini,Brok that peulayanan pos indonesia jinoe,Uyuh banar palayanan pos indonesia wayah ini,Pos Indonesia's services are so pathetic nowadays.,Paya ongghu pelayanan pos indonesia satiya riya,Papa tutu pelayanan pos indonesia wayah tuh,Payah pisan palayanan pos indonesia ayeuna ieu,Enduk sajan pelayanan pos Indonesia jani,meja' ladde; pelayananna pos indonesia makkokkoe,Payah tenan pelayanan pos indonesia wektu iki,Buruak bana palayanan pos indonesia kini ko,Maol hian panghobasion ni pos Indonesia saonari on.
290,"Ini indihome saya gangguan lagi ini. Saya lagi ada kerjaan tiba-tiba terputus, merah kedip-kedip, baru seminggu baik wifinya, sudah gangguan lagi. Indihome telkom sekarang banyak gangguan ya, bayar selalu mahal, mengecewakan sekali.","Nyoe ndihome lon na gangguan lom. Lon teungoh na buet tiba-tiba putoh sambungan, mirah meublet-blet. Baro na meusiminggu get wifi, ka gangguan lom. Indihome telkom lawet nyoe brat that gangguan sang,bayeue sabe meuhai, teulah teuh.","Ngini indihome ulun gangguang pulang ni. Ulun lagi ada gawian tetiba taputus, habang bakadip-kadip, hanyar ha saminggu baik wifinya, hudah gangguan pulang. Indihome telkom wahini banyak gangguan lah, bayar pasti larang, mangaciwakan banar.","My Indihome got some problems again. I was working when all of a sudden the connection was cut, my modem blinked red, the wifi had only been fine for a week, and then it got issues again. You've got a lot of problems lately huh, Indihome Telkom? Bill's always high, but still disappoints.","Ariya indihome engkok gengguen pole. Engkok bede kalakoan mutemmu pegghek, mira dhep-keddheppen, bhuru saminggu nyaman wifina, la gengguen pole. Indihome telkom satiya bennyak gengguen ye, majer kolako larang, tak masenneng sakale. ","Tuh Indihome ayungkuh gangguan hindai. Aku lagi tege gawian basalenga putus, bahandang pitep pitep, haru ije minggu bahalap wifi ah, jadi gangguan hindai. Indihome telkom wayah tuh are gangguan lah, bayar selalu larang, nampa bajilek tutu.","Ieu indihome urang gangguan deui yeuh. Kuring keur di gawe ujug-ujug pegat, beureum kedap-kedip, karek saminggu wifina alus, geus gangguan deui. Indihome telkom ayeuna loba gangguanna nyak, mayarna awis wae, kuciwa pisan.","Ne indihome tiyang gangguan buin ne. Tiyang sedek ada gae nadak pegat, barak kedap-kedip, mara a minggu luung wifi ne, suba gangguan buin. Indihome telkom jani liu gangguan ao, mayah setata mael, mengecewakan sajan.","Iyae indihome ku tagganggu si paemeng. Iaya mattangang engka jamakku na tappa tappettu, macella' makkapede-pede, nappai siminggu makanja' wifi e, pole si taggangngu. Indiehome telkom makkokkoe maega taggangngu dih, makkamaja soli, mapppasara nyawa ladde'.","Iki indihomeku gangguan maneh iki. Aku lagi ana garapan ujug-ujug pedot, abang kedip-kedip, lagek seminggu ya wifine, wis gangguan maneh. Indihome telkom saiki akeh gangguan ya, mbayar mesti larang, nggarai gela pol.","Iko indihome wak gangguan lo liak ko. Awak sadang ado karajo tibo-tibo putuih, merah kijok-kijok, baru saminggu elok wifinyo, alah gangguan liak. Indihome telkom kini banyak gangguan yo, bayia salalu maha, mengecewaan bana.","On Indihomehu adong muse segana. Au lagi karejo hape tompu putus. Marrara manghidop hidop, hape saminggu dope denggan nungnga adong musek nasega. Indihome telkom saonari godang segana, bayarna torus arga mambahen jut roha."
291,"Menurut saya bebek garang ini punya varian menu bebek yang cukup banyak. Saya suka perpaduan antara bebek dan sambalnya, rasanya pas. Untuk harga berkisar 20 - 30 ribu dan menurut saya cukup sepadan dengan rasa dari makanan di sini.","Menurot lon Bebek garang nyoe na ragam pilihan itek yang cukop le. Lon galak paduan itek ngon sambi jih, rasajih pah. Yum jih kisaran dua ploh sampoe lhee ploh ribee dan meunyoe bak lon cukop sibandeng ngoen rasa makanan inoe.","Ujar ulun itik garang ini bisi bamacam-macam masakan itik nang pina banyak. Ulun katuju campuran itik lawan sambalnya, rasanya pas. Gasan haraga 20 - 30 ribu wan ujar ulun sasuai banar lawan rasa makanan disini.","In my opinion, this Bebekk Garang has plenty of duck menu variants available. I like the combination between the duck and the Sambal, the flavour is just right. The price ranges from 20-30 thousand and I  believe it to be a reasonable price for the food here.",Ca'na engko' etek gharang ria andi' bannya' macem menu na. engko' senneng padhuan etek bi' sambhalla. rassana pas. ghabay raggha 20-30 ebu ca'na engko' cokop pas bi'rassa kakanan ria.,"Tumunku itik garang tuh tege macam menu itik ji sukup are. Aku rajin campuran angat itik dengan sambal te, angat te pas. Akan rega sekitar duapuluh sampai telupuluh ribu dengan tumunku sukup imbang dengan angat bara penginan hetuh.","Numutkeun abdi bebek garang ieu gaduh varian menu bebek nu cekap seueur. Abdi resep paduan antara bebek sareng sambelna, rasana pas. Kanggo hargi kisaran 20 - 30 rebu sareng numut abdi mah cekap sapadan sareng rasa ti tuangeun di dieu.","Ring seantukan tiang bebek garang puniki ngelah varian menu bebe sane cukup liu. Tiang demen pepaduan bebek lan sambel ne, rasane pas. Yen ajine ring 20-3-ribu lan seantukan tiang cukup pas ajak rasan ring ajengan driki.","Yako iya' iti' garang e we mappunna wi dupa-dupang menu iya makae mo ega. Iya upojiwi appasijemmuna iti'e sibawa sambala' na, rasana sikanangeng. Yako ellinna macawe' i 20-30 sebbu sibawa yako iyya' sikennasa sibawa rasana iya anre-anre we okkoe.","Miturutku bebek garang iki ndhuwe varian menu bebek sing cukup akeh. Aku seneng gabungane bebek lan sambel, rasane pas. Kanggo rega sekitar 20 - 30 ewu lan miturutku cukup padha karo rasa saka panganan ing kene.","Manuruik wak bebek garang ko punyo varian menu bebek yang cukuik banyak. Wak suko paduan antaro bebek jo ladonyo, rasonyo pas. Untuak harago kisaran 20 - 30 ribu dan menuruik wak cukuik sapadan jo raso dari makanan di siko.","Molo ahu mandok bebek garang on tung mansai godang do ragam na, lomo rohakku parsadaan ni bebek dohot sambal nai, dai na i pe pas,argana antara 20-30 ribu jala pandapothu dos do tu dae ni sipanganon dison.
"
292,"Cocok buat pertemuan, acara pernikahan, pemotretan. Suasananya tenang, santai, adem.","Pah untuk duek pakat, walimah, poto-poto. Suasanajih tenang, santai, dan leupie.","Cucuk gasan partemuan, acara bakawinan, pemotretan. Suasananya tanang, santai, dingin.","Perfect for meetings, weddings, and photoshoots. The atmosphere is calming, soothing, and cool","Cocok ghebey katemuan, acara kabinan, pemotretan. suasanana tenang, santai, cellep.","Cocok akan pertemuan, acara pernikahan, pemotretan. Suasana te taduh, santai, adem.","Cocog kanggo ngarempel, acara kawinan, pamotretan. Suasana kalem, salse, tiis.","Cocok anggon pertemuan, acara pawiwahan, pemotretan. Suasanane tenang, santai, adem.","Sicoco' yonri tudang sipulung, acara botting, mappoto. Appeneddingenna matennang, masagena, macekke'.","Cocok dingge pertemuan, acara kawinan, pemotretan. Suwasanane tentrem, santai, adem.","Cocok untuak patamuan, acara nikah, pamotretan. Suasananyo tanang, santai, sajuak.","Pas tu parpunguan, acara parbogason, pamotreton. Suasanana tenang, santai, adem."
293,Setiap kali ke sini saya ingin berlama-lama dan tidak mau pulang cepat. Pelayanan yang ramah dan tempat yang nyaman.,"Tiep go jak keunoe adak jeuet beutrep, bek bagah tawoe. Peulayanan ramah, teumpatjih nyaman.",Saban ka sini ulun handak balalawas wan kada handak bulik hancap. Palayanan nang lamahan wan wadah nang nyaman,"Every time I come here, I just wanna stay here for a long time and not go home. The service is hospitable and the place feels just like home.",Sabben entar de'enje engkok terro bit-abiteh ben tak terro lekkasa mule. Pelayanan se ramah ben kennengngan se nyaman.,Genep kali kan hetuh aku handak tahi-tahi dengan diak maku buli capat. Pelayanan ji bejenta tuntang eka ji nyaman.,Unggal kali ka dieu abdi hoyong lami-lami sareng teu hoyong enggal uih. Palayanan nu ramah sareng tempat nu merenah.,Sabilang mai tiyang dot makelo-kelo lan sing dot enggal mulih. Pelayanan ane ajer lan tongos ane nyaman.,Tungke'-tungke' laoka' okkoe tuli meloka metta sibawa de umelo lisu masija'. Pangadarenna maka bessa sibawa anroanna manyameng.,Saben mrene aku pengin suwe-suwe lan ora pengen muleh cepet. Pelayanan sing grapyak lan panggonan sing kapenak.,Satiok kali ka siko awak nio balamo-lamo dan indak nio pulang capek. Palayanan nan ramah dan tampek nan nyaman.,Ganup ro tuson naeng hupaleleng-leleng jala dang naeng hatop mulak. Panghobasionna na lambok dohot inganan na menak.
294,Restoran ini menyajikan masakan bali yang sarat modifikasi sehingga terkesan disesuaikan dengan lidah konsumen yang nota bene bukan orang bali. Tiga photo yang saya lampirkan itu adalah makanan yang kami pesan.,Rumoh makan nyoe dipeusedia makanan khas Bali tapi brat that ditamah ngon hai laen sehingga bak tarasa sang cuma untuk dipeupah nyum ngon lidah ureueng nyang kon awak bali. Lhee on gamba yang lon peudeuh nyan makanan nyang kamoe pesan.,Risturan ngini manyajiakan masakan bali nang sarat modifikasi sahingga takasan disasuaiakan wan ilat konsumen nang nota bene lain urang bali. Tiga foto nang ulun lampirakan ngitu adalah makanan nang kami pasan.,"This restaurant offered many highly modified Balinese cuisine that felt like they were more tailored towards the customers, most of which weren't native Balinese people. The three pictures we attached are of the food we ordered.",Restoran riya nyadie'eghi kakanan bali se sarat pangobe'en saengghe enga' epapade bik jhilena oreng se melle se benni reng bali. Tello' photo se engkok patao iye rua kakanan se engkok bik se laen pessen.,Restoran jituh nyadia penginan pekasak bali je are modifikasi jadi terkesan disesuaikan dengan belai konsumen je notabene beken uluh bali. Telu photo je aku lampirkan te iyete panginan je ikei peteh.,Restoran ieu nyayogikeun pasakan Bali anu pinuh ku modifikasi janten sigana diluyukeun sareng letah konsumen anu sanes urang Bali. Tilu poto anu kuring lampirkeun nyaeta kadaharan anu dipesen arurang.,Restoran ene nyajiang masakan bali ane sarat modifikasi sehingga terkesan disesuaikan ajak layah konsumen ane nota bene tusing nak bali. Telu photo ane tiyang lampirkan ento adalah ajengan ane iraga pesen.,Restorang e we mappassadia nasu-nasu bali iya maegae laipasellei modele' na mancajiwi laipasikenangeng sibawa lillana pangelli e iya manessae makkada tennia tau bali. Tellu poto iya laupaccioe iyanaritu anre-anre yassuroangnge.,Restoran iki nyajike masakan bali sing kebek modifikasi dadi terkesan disesuaine karo ilat konsumen sing nota bene uduk wong bali. Telung foto sing tak lampirne kuwi yaiku panganan sing awakdewe pesen.,Restoran ko manyajian masakan bali yang banyak modifikasi sahinggo takasan disesuaian jo lidah konsumen nan bukan urang bali. Tigo photo nan awak lampiran tu adolah makanan nan kami pasan.,Restoran on patupahon loppaan ni bali na dimodifikasi gabe songon na dipacokcok ma tu dila ni panuhor na so halak bali. Tolu poto na hulampirhon i ma sipanganon na hupesan hami.
295,"Kalau di banyak tempat steak membutuhkan waktu lama sebelum penyajiannya, di tempat ini menurut saya cenderung cepat dan sesuai dengan lidah maupun dengan dompet saya. Saya pernah menunggu teman sampai 2 jam di sini, tapi tidak berasa karena makanannya membuat saya lupa waktu. Hehe","Pat-pat tempat nyang dipeusedia steak pereulee watee trep sigohlom dipeusaji, bak tempat nyoe menurut lon termasuk cukop bagah dan sesuai ngon lidah dan balum. Lon tom preh ngon troh 2 jeum disinoe tapi hana terasa seubab makanan lagee dipeutuwoe watee lon. Hehe","Amun wadah steak kabanyakan mamarluakan waktu lawas sabalum panyajiannya, di wadah ngini manurut ulun cenderung hancap wan sasuai wan ilat maupun wan ipok ulun. Ulun suah mahadangi kawan sampai 2 jam di sini, tagal kada barasa gegara makanannya maulah ulun kada baingat wan waktu. Hehe ","Where most steakhouses would take quite a long time to serve the food, here the steak came out rather quickly, in my opinion and it was perfect, both for my palate and my wallet. One time I was waiting for my friend for 2 hours here, but I didn't feel that long because the food made me lose track of time. Hehe","Mun e bennyak kennengngan steak abhutoaghi bekto abit sabellun penyajienna, e kennengngan riya cakna engkok tamasok lekkas ben cocok bik jhile otabe bik dompetta engkok. Engkok perna adente' kanca sampe' 2 jem e diye, tape tak egheressa polana kakananna aghebey engkok loppa bekto. Hehe","Amun hung are eka steak belaku waktu tahi sahindai nyerungan, hung eka tuh tumun aku cenderung capat tuntang sesuai dengan jela tuntang dompetkuh. Aku puji menunggu kawal sampai due(2) jam hetuh, tapi dia terasa angat ah awi panginan te nampae aku dia mingat waktu.","Lamun di loba tempat steak meryogikeun waktu lami samemeh disayagikeun, di tempat ieu saur abdi condong jadi gancang tur cocog sareng letah jeung dompet kuring. Kuring kungsi ngadagoan babaturan nepi ka 2 jam di dieu, tapi teu karaos sabab dahareunna nyieun kuring poho waktu. Hehe","Yening di liunan tongos steak nagih waktu mekelo sadurung nyajiangne, di tongos ene menurut tiyang cenderang enggal lan sesuai ajak layah maupun ajak dompet tiyang. Tiyang taen ngantiang timpal kanti 2 jam dini, nanging ten merasa krana ngajengne ngaenang tiyang engsap waktu. Hehe","Yako okko maegae anroang steak parellui wettu metta melona mappassadia, ri anroangng e we yako iya' pada ko masija' i sibawa sikenangeng sibawa lilla yaregga sibawa dompe' e. Iya' pura mattajeng sibawang lettu' 2 jang okkoe, tapi ne ipirasai nasaba' anre-anre na pancajika takkalupa lao okko wettue. Hehe","Lak ning akeh panggon steak butuh wektu suwi sakdurunge lak nyajikne, ning panggon iki menurutku luwih cepet lan sumbut karo ilat lan karo dompetku. Aku tau ngenteni kanca sampek 2 jam ning kene, nanging ora krasa merga panganane nggarai aku lali wektu. Hehe","Kalau di banyak tampek steak mambutuahan wakatu lamo sabalum panyajiannyo, di tampek ko manuruik wak labiah capek dan sasuai jo lidah maupun jo dompet awak. Awak pernah manunggu kawan sampai 2 jam di siko, tapi ndak taraso dek makanannyo mambuek wak lupo wakatu. Hehe","Molo di akka inganan ni steak ikkon leleng asa dipatupa, di inganan on pandapothu songon na hatop jala pas tu dila dohot dompethu. Au hea do paimahon dongan sahat tu 2 jom dison, alai dang pola terasa alani sipanganonna mambahen dang huingot tingki. Hehe"
296,Kalau mau beli obat pergi saja ke kimia farma yang berada di ujung jalan itu,Meunyo keumeung bloe ubat jak mantong bak kimia farma nyang di ujong jalan nyoe,Amun handak nungkar obat tulak haja ka kamia farma nang baandakan di buncu jalan nitu,"If you wanna buy some meds, just go to Kimia Farma at the end of that street.",Mun melliya obat entar bhei ka kimia farma se bede e konco' jelen rua,Amun handak mili tetamba haguet ih kan kimia farma ji tege hong ujung jalan hete,Upami bade meser obat indit we ka kimia farma nu aya di tungtung jalan eta,Yen lakar meli obat laku gen ke kimia farma ane ada di ujung margi ento.,ko meloki melli pabbura lao bawanni okko kimia farma okko cappa'na lalengnge,Yen arep tuku obat lunga wae marang kimia farma sing ana ing pungkasane dalan kuwi,Kalau nio bali ubek pai se ka kimia farma nan ado di ujuang jalan tu,Molo naeng manuhor ubat lao ma tu kimia farma na adong di ujung ni dalan i.
297,Pelajaran matematika anak sd sekarang sulit sulit,Pelajaran matematik aneuk sd lawet nyoe payah-payah that,Palajaran matimatika kakanakan sd wahini ngalih ngalih,Elementary graders' math lessons are now really difficult,Pangajharan matematika ana' sd satia ra sara,Pelajaran anak  sd wayah tuh bahali-hali,Palajaran matematika budak sd ayeuna hararese,Peplajahan matematika alit sd ne mangkin keweh keweh,Agguruang matematika na ana' sd makkokkoe mawatang watang,Pelajaran matematikan bocah sd siki engel engel,Palajaran matematika anak sd kini payah payah,Parsiajaran matematika dakdanak SD nuaeng tung mansai maol situtu.
298,Restoran di sini selalu penuh karena letaknya yang strategis di pintu masuk mal. Rasa bubur cukup enak. Proses penyajian dari order sampai penghidangan juga cukup cepat.,Restoran disinoe sabe peunoh seubab lokasijih pah that bak pinto tamong mal. Rasa bubur leupah mangat. proses  dari order sampoe geuhidang pih cukop bagah.,Risturan di sini hibak tarus gegara andakannya nang strategis di lawang masuk mal. Rasa bubur mayan nyaman. Proses panyurungan mulai memesan sampai mahidangakan jua mayan laju.,This restaurant's always packed because of its ideal location near the mall's entrance. The porridge tastes nice. The ordering and serving process are also pretty fast.,Restoran e diye kolako possa' polana kennengngenna se strategis e labeng masok mal. Rassa bubur cokop nyaman. Proses nyajiye'eghi deri messen sampe' penghidangan kiya cokop lekkas.,Restoran hetuh selalu penuh  awi eka te strategis melai pintu tame mal. Angat kangkuyaw cukup mangat. Proses inyadia bara order sampai nyadia cukup capat kea.,Restoran di dieu pinuh wae kusabab letakna nu strategis dina panto lebet mal. Rasa bubur cekap raos. Proses panyajian ti mesen nepi disayogikeun oge cekap enggal.,Restoran driki sesai kosek krane tongosne sane strategis ring pintu masuk mal. Rasan bubuh ne cukup jaen. Proses ne kasajiang ring order kanti penghidanganne masih cukup enggal.,iyye rerstorang e tori penno nasaba makanja onroanna okko tange' tamana mal e. rasa buburuna malunra' sah. proses nareangta pole order lettu nareangki aga masija' meto,Restoran ing kene mesthi kebak amarga manggone sing strategis ing lawang mlebu mal. Rasa bubure cukup enak. Proses penyajiane saka mesen nganti dihidangake uga cukup cepet.,Restoran di siko taruih panuah dek lataknyo yang strategis di pintu masuak mal. Raso bubua cukuik lamak. Proses panyajian dari order sampai panghidangan cukuik capek pulo.,restoran on torus gok ala ingananna na suman ura dapot di pintu masuk ni mal. daini bubur lumayan tabo. sian manuhor sahat tu laho paradehon lumayan hatop.
299,Habisnya aku lagi galau kak maka dari itu bikin story kayak begitu,Nyan keuh nyan lon teungoh goga maka lon peugot story lagee nyan,Habisnya gin ulun lagi galau kak makanya maulah story nang kayaitu,"I can't help it, I was feeling blue so I made that kind of story",Marena engkok riya galau kak deddhina aghebey story mara rua,"Awi aku lagi galau kak, makanya nampae story kilau jite.",Atosan abdi nuju galau kak ku sabab kitu ngadameul story nu sapertos kitu,Kudiang men tiang sedeng galau bli makane ngae story care keto.,agaje' masumpe'ka makkokkoe kak nappai makkabuaka story makkoro,Tibake aku lagi bingung mas mulane nggawe story kaya ngono,Iyo dek wak sadang galau uni mako dari tu buek story mode tu,alana au lagi galau kak makana sian i hubahen story songoni.
300,"Untuk yang sedang ke cirebon dan cari tempat yang enak parkirnya dan makanannya butuh cepat, lebih baik ke sini karena parkiran luas dan suasana nyaman","Untuk yang tengeh jak u Cirebon dan mita tempat yang mangat parkir jih dan makanan jih pereulee bagah, lebeh geut jak keuno karena parkiran luah dan suasana nyaman","Gasan nang lagi ke cirebon wan nyari wadah nang nyaman parkirnya wan makanannya parlu hancap, baik kasini sualnya parkirannya luas wan suasananya nyaman.","For those going to Cirebon and looking for a nice parking spot and quick-service food, it's best to come here since the parking spot is spacious and the atmosphere is comfy.","Ghebey se entar ka cirebon ben nyare kennengngan se nyaman parkiranna ben kakananna bhuto lekkas, lebbi bhegus ka diye polana parkiranna leber ben suasanana nyaman","Akan ji jalanan kan cirebon dengan gau eka ji mangat parkir te tuntang penginan te handak capat, labih bahalap kan hetuh awi parkiran lapang dengan suasana taduh","Kanggo nu nuju ka cirebon sareng milarian tempat nu raos parkirna sareng tuangeunna peryogi enggal, leuwih sae ka dieu kusabab parkiranna lega sareng suasanana rempes","Ane sedek ka cirebon lan ngalih tongos ane jaan parkirne lan ajenganne butuh enggal, adenan mai krana parkirane linggah lan suasana nyaman","Narekko okko ki cirebon na sappaki onroang makanja' parikiranna na masija' anre-anrena, lebbi ko laoki okkoe nasaba maloang parkiranna na makanja appeneddingenna","Kanggo sing lagi marang cirebon lan nggolek panggonan sing enak parkire lan panganane butuh cepet, luwih apik marang rene amarga parkirane amba lan suwasanane kapenak","Untuak nan sadang ka cirebon dan cari tampek nan lamak parkirnyo dan makanannyo [aralu capek, labiah ancak ka siko karano lueh dan suasano nyaman","Tu angka na lagitu Cirebon jala mangalului inganan na tabo parkiran na jala sipanganon na ikkon hatop, tumagon ma ro tu son alana parkiran na bidang jala suasana na sonang."
301,Mm sedih deh kalau ke sini selalu menunggu: Mienya pedas banget. Hehe bangkunya juga tambahkan dong biar tidak menunggu,Mm cut ate meunyoe tajak keunoe sabe payah preh: Mie jih leupah keueung. Hehe tempat duek pih kajeuet ta tamah supaya hana payah bak preh le,Mm sedihnya amun ka sini pasti mahadang. Mienya padas banar. Hehe bangkunya jua tambai pang supaya kada mahadang,"Mm, kinda sad to have to wait every time I come here. The noodles are hella hot. Hehe, maybe add more seats in so we don't have to wait, y'know.",Mm seddi la mon ka dia kodhu nante'. Mie na peddes ongghu. Hehe bangkuna kia tambai la malle ta' te'nante'an,Mm nyerenan angat ah amun kan hetuh rancak menunggu. Mie te bahari tutu. Tetawe hehe bangku te kea pendahang nah mangat diak menunggu,Mm sedih euy mung ka dieu sok nungguan: Emina lada pisan. hehe bangkuna oge ditambihan atuh meh henteu nunggu,Mm pedih bane yen mai jeg sesai ngantos : Mie ne lalah sajan. hehe Bangkune masih tambahang ape apange sing ngantosin.,Mm massing nyawae sedding ko tollao okko e tori mattajeng: Mie na mapesse ladde'. Hehe kaderana aga tambai laloi kasi' bare' de tomattajeng,Mm nelangsa yen mrene tansah ngenteni: Mine pedes banget. Hehe kursine uga ditambah lah ben ora ngenteni,Mm sadiah lah kalau ka siko taruih manunggu: Mienyo padeh bana. Hehe bangkunyo juo tambahan lah bia ndak manunggu,"mm holsoan do roha molo ro tuson alana sai ingkon do paimahon: Mie na pe nasiakan.hehe bangku na i ditambai manian antong asa unang paimahon.
"
302,"Memang faktanya kami punya banyak tanah di sini, mau apa lo?! maka dari itu kerja biar bisa banyak duit kayak kami-kami, jangan cuma bisanya menghujat saja","Cit nyata kamoe na le tanoh inoe, peu meuheut droeneuh?! Makajih, keureuja ngat na le peng lagee kamoe, bek jeuet kheun keu gop mantong.","Dasar bujuran kami bisi banyak tanah di sini, handak apa ikam? Makanya itu bagawi supaya kawa banyak duit kaya kami ini. jangan bisanya manyamnati haja.","But the fact is, we do own lotsa land here, whatcha gonna do about it?! Just work hard if you wanna be rich like us, don't just mock us all the time ","Jhet kanyataanna engkok bik se laen endik bennyak tanah ediye, arapa'ah bekna?! Mangkana rua alako malle bisa bennyak pessena engak engkok bik se laen, jhek perak lecalian bhei","Memang fakta ah ikei baisi are petak hetuh, handak narai ikau?! maka te bagawi biar are duit kilau ikei, ela baya tau nampa pander dia bahalap ih","Kanyataan yen urang gaduh seueur lahan di dieu, naon anu anjeun pikahoyong ?! Kusabab kitu damel supados anjeun tiasa kengingkeun seueur artos sapertos kami, ulah ngan saukur ngahujat","Mula faktane iraga ngelah tanah liu dini, kal nagih apa ragane?! Makane megae apang bisa bek ngelah pipis cara iraga,  eda cuman bisane menghujat gen","engka memeng buttinna ko mega tana ku okko e, meloko maga? nampai to makkada ajjamako nara wedding mega dui'mu pada idi' maneng, aja'na kapau-pau sala bawang mullei","Pancen faktane awakdewe nduwe akeh lemah ning kene, arep nyapo kowe?! makane nyambut gawe ben isa akeh duwit kaya awakdewe, aja mung isane ngelokne ae","Emang faktanyo kami punyo banyak tanah di siko, nio apo ang?! dek itu karajo lah bia bisa banyak pitih mode kami-kami, jan hanyo pandai maupek se","men]mang hasintongan na hami mampuna godang tano dison, naeng boha ho? alani i karejo asa boi godang hepeng songon hami-hami, unang holan boi mangaleai."
